Fecha de Suscripción,Usuario Libre,Suministrador,Link de Descarga
41978,ANTAMINA (PUERTO ANTAMINA),ENERSUR,ENE_ANT_2014125_1_845.pdf
42068,APUMAYO S.A.C.,ENERSUR,ENE_APU_201535_ 2_894.pdf
42068,APUMAYO S.A.C.,ENERSUR,ENE_APU_201535_2_895.pdf
42117,VOTORANTIM METAIS - CAJAMARQUILLA S.A.,ENERSUR,ENE_VOT_2015423_0_909.pdf
42123,VOTORANTIM METAIS - CAJAMARQUILLA S.A.,ENERSUR,ENE_VOT_2015429_ 2_912.pdf
42149,OWENS ILLINOIS PERU S.A.,ENERSUR,ENE_OWE_2015525_0_920.pdf
42149,OWENS ILLINOIS PERÚ (PRADERA - NUEVA LÍNEA),ENERSUR,ENE_OWE_2015525_0_921.pdf
42153,MINERA BATEAS S.A.C.,ENERSUR,ENE_MIN_2015529_5_923.pdf
42185,XSTRATA TINTAYA S.A. (Las Bambas),ENERSUR,ENE_XST_2015630_ 2_932.pdf
42185,CERAMICA LIMA S.A. ,ENERSUR,ENE_CER_2015630_0_933.pdf
42185,CELIMA,ENERSUR,ENE_CEL_2015630_0_934.pdf
42215,Las Bambas MMG,ENERSUR,ENE_Las_2015730_2_942.pdf
42263,ESMERALDA CORP. S.A.C.,ENERSUR,ENE_ESM_2015916__961.pdf
42263,ESMERALDA CORP,ENERSUR,ENE_ESM_2015916_0_963.pdf
42283,BCP - CENTRAL,ENERSUR,ENE_BCP_2015106_0_967.pdf
42306,CELEC EP,ENERSUR,ENE_CEL_20151029_0_976.pdf
42310,SOCIEDAD MINERA CERRO VERDE S.A.A,ENERSUR,ENE_SOC_2015112_0_981.pdf
42311,INDUSTRIAS FIBRAFORTE S.A.,ENERSUR,ENE_IND_2015113_0_982.pdf
42314,ESMERALDA CORP. S.A.C.,ENERSUR,ENE_ESM_2015116_0_983.pdf
42314,LINDE GAS PERU S.A.C.,ENERSUR,ENE_LIN_2015116_1_984.pdf
42324,VOTORANTIM METAIS - CAJAMARQUILLA S.A.,ENERSUR,ENE_VOT_20151116_ 3_988.pdf
42335,ORIGAN S.A.,ENERSUR,ENE_ORI_20151127__994.pdf
42339,VOTORANTIM METAIS - CAJAMARQUILLA S.A.,ENERSUR,ENE_VOT_2015121_ 4_1003.pdf
42339,VOTORANTIM METAIS - CAJAMARQUILLA S.A.,ENERSUR,ENE_VOT_2015121_ 5_1004.pdf
42368,MINSUR S.A. (Pisco),ENERSUR,ENE_MIN_20151230_0_1025.pdf
42368,MINSUR S.A. (San Rafael),ENERSUR,ENE_MIN_20151230_0_1026.pdf
42368,MINSUR S.A. (Pucamarca),ENERSUR,ENE_MIN_20151230_0_1027.pdf
42369,ANABI S.A.C.,ENERSUR,ENE_ANA_20151231_0_1030.pdf
42397,INVERSIONES NACIONALES DE TURISMO,ENERSUR,ENE_INV_2016128_0_1039.pdf
42408,CORPORACION PERUANA DE PRODUCTOS QUIMICOS,ENERSUR,ENE_COR_201628_0_1048.pdf
42411,APUMAYO S.A.C.,ENERSUR,ENE_APU_2016211_ 3_1050.pdf
42430,SOCIEDAD MINERA CERRO VERDE S.A.A,ENERSUR,ENE_SOC_201631_1_1060.pdf
42443,ALGODONERA CONTINENTAL S.A.C.,ENERSUR,ENE_ALG_2016314_0_1063.pdf
42452,PAPELERA DEL SUR S.A.,ENERSUR,ENE_PAP_2016323_2_1068.pdf
42494,VOTORANTIM METAIS - CAJAMARQUILLA S.A.,ENGIE(ENERSUR),ENG_VOT_201654_6_1081.pdf
